,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
9329,MANTAUSDT,TROYUSDT,0.0,-4.38,-3.37,336.4,58
301,10000COQUSDT,ATAUSDT,0.0,-5.6,-3.37,0.09,52
11828,RENUSDT,SLFUSDT,0.0,-5.35,-3.37,0.11,50
4373,COOKIEUSDT,MAVIAUSDT,0.0,-4.45,-3.37,0.51,50
2597,ATAUSDT,GMXUSDT,0.0,-6.22,-3.37,0.0,50
405,10000COQUSDT,GMTUSDT,0.0,-5.71,-3.37,0.1,49
66,1000000BABYDOGEUSDT,SCRTUSDT,0.04,-3.46,-3.37,0.01,49
2743,AUDIOUSDT,DRIFTUSDT,0.0,-5.31,-3.37,0.14,49
698,10000QUBICUSDT,METISUSDT,0.0,-5.33,-3.37,0.0,49
1027,1000LUNCUSDT,HOOKUSDT,0.0,-4.61,-3.37,0.28,48
2269,ALTUSDT,TROYUSDT,0.01,-3.81,-3.37,40.25,48
6385,FIDAUSDT,LPTUSDT,0.0,-4.4,-3.37,0.02,48
1835,AEVOUSDT,TROYUSDT,0.0,-4.28,-3.37,145.12,48
1757,AERGOUSDT,CROUSDT,0.02,-3.64,-3.37,0.82,47
687,10000QUBICUSDT,KASUSDT,0.0,-4.37,-3.37,0.18,47
2618,ATAUSDT,ROSEUSDT,0.04,-3.41,-3.37,1.68,47
3861,C98USDT,TLMUSDT,0.0,-4.21,-3.37,13.39,47
427,10000COQUSDT,ILVUSDT,0.0,-5.58,-3.37,0.0,46
792,10000WHYUSDT,ALGOUSDT,0.0,-5.62,-3.37,0.0,46
743,10000QUBICUSDT,VETUSDT,0.0,-5.69,-3.37,0.5,46
6625,FLRUSDT,VETUSDT,0.04,-3.4,-3.37,0.55,46
399,10000COQUSDT,FXSUSDT,0.0,-5.27,-3.37,0.0,46
2393,APTUSDT,SYNUSDT,0.03,-3.58,-3.37,17.0,46
6576,FLOWUSDT,IDUSDT,0.0,-5.78,-3.37,1.81,45
8739,KSMUSDT,LQTYUSDT,0.0,-4.13,-3.37,16.98,45
1347,1000XECUSDT,SNTUSDT,0.03,-3.53,-3.37,0.81,45
11218,POWRUSDT,SCUSDT,0.0,-4.7,-3.37,49.66,45
700,10000QUBICUSDT,MNTUSDT,0.0,-4.66,-3.37,0.02,45
12656,SCRTUSDT,TROYUSDT,0.03,-3.47,-3.37,178.39,44
3671,BOBAUSDT,RSS3USDT,0.0,-4.71,-3.37,1.97,44
498,10000COQUSDT,ORCAUSDT,0.0,-6.14,-3.37,0.0,44
13740,TAIKOUSDT,WAVESUSDT,0.0,-4.23,-3.37,0.84,44
538,10000COQUSDT,SCRTUSDT,0.0,-6.28,-3.37,0.03,44
529,10000COQUSDT,RIFUSDT,0.0,-6.0,-3.37,0.12,44
329,10000COQUSDT,BNXUSDT,0.0,-6.03,-3.37,0.04,44
5743,EDUUSDT,TROYUSDT,0.02,-3.72,-3.37,252.33,44
12736,SCUSDT,1000BTTUSDT,0.03,-3.55,-3.37,5.0,44
8751,KSMUSDT,TROYUSDT,0.01,-3.88,-3.37,14192.51,44
6348,FDUSDUSDT,USDCUSDT,0.02,-3.64,-3.37,1.0,44
5095,DATAUSDT,GMXUSDT,0.04,-3.38,-3.37,0.0,44
345,10000COQUSDT,CHRUSDT,0.0,-5.39,-3.37,0.06,44
311,10000COQUSDT,AXSUSDT,0.0,-5.63,-3.37,0.0,44
2371,API3USDT,SCRTUSDT,0.01,-3.79,-3.37,3.78,44
4522,CROUSDT,DOGEUSDT,0.02,-3.67,-3.37,0.4,43
6614,FLRUSDT,PIRATEUSDT,0.04,-3.41,-3.37,0.29,43
804,10000WHYUSDT,BRETTUSDT,0.02,-3.71,-3.37,0.01,43
3638,BNXUSDT,MOVRUSDT,0.0,-5.48,-3.37,0.03,43
10343,NULSUSDT,QUICKUSDT,0.0,-4.7,-3.37,10.38,43
8627,KASUSDT,TOKENUSDT,0.03,-3.48,-3.37,3.61,43
2789,AUDIOUSDT,RENUSDT,0.04,-3.44,-3.37,5.03,43
11499,QUICKUSDT,SSVUSDT,0.01,-3.86,-3.37,0.0,43
606,10000LADYSUSDT,OMNIUSDT,0.0,-4.54,-3.37,0.0,43
625,10000QUBICUSDT,AAVEUSDT,0.0,-5.44,-3.37,0.0,43
13581,STORJUSDT,FLOWUSDT,0.02,-3.67,-3.37,0.66,43
2463,ARKUSDT,DRIFTUSDT,0.01,-4.01,-3.37,0.55,43
13394,SNTUSDT,1000BTTUSDT,0.04,-3.38,-3.37,38.33,43
3962,CELOUSDT,SXPUSDT,0.0,-4.7,-3.37,1.88,42
3831,C98USDT,FIDAUSDT,0.0,-4.22,-3.37,0.63,42
491,10000COQUSDT,NTRNUSDT,0.0,-5.42,-3.37,0.03,42
559,10000COQUSDT,STRKUSDT,0.0,-5.78,-3.37,0.03,42
12484,SAFEUSDT,AERGOUSDT,0.03,-3.49,-3.37,7.38,42
483,10000COQUSDT,NEARUSDT,0.0,-5.68,-3.37,0.0,42
2617,ATAUSDT,RIFUSDT,0.01,-4.09,-3.37,1.29,42
9270,MANAUSDT,PROMUSDT,0.0,-6.41,-3.37,0.09,42
457,10000COQUSDT,MANAUSDT,0.0,-5.45,-3.37,0.02,42
2613,ATAUSDT,ORCAUSDT,0.01,-3.89,-3.37,0.04,42
13514,STMXUSDT,1INCHUSDT,0.04,-3.4,-3.37,0.02,42
5174,DGBUSDT,1000LUNCUSDT,0.0,-4.11,-3.37,0.14,42
8970,LQTYUSDT,BALUSDT,0.03,-3.53,-3.37,0.62,42
387,10000COQUSDT,FIDAUSDT,0.0,-6.12,-3.37,0.05,42
416,10000COQUSDT,HIFIUSDT,0.0,-5.72,-3.37,0.02,42
3065,BANANAUSDT,IOTAUSDT,0.0,-4.41,-3.37,125.72,41
664,10000QUBICUSDT,ENSUSDT,0.0,-5.86,-3.37,0.0,41
3030,BANANAUSDT,DASHUSDT,0.03,-3.59,-3.37,1.14,41
4445,COSUSDT,STORJUSDT,0.01,-3.95,-3.37,0.01,41
1821,AEVOUSDT,MANTAUSDT,0.0,-4.72,-3.37,0.43,41
5106,DATAUSDT,PROMUSDT,0.0,-4.81,-3.37,0.01,41
8340,IDEXUSDT,RENUSDT,0.0,-4.75,-3.37,1.8,41
7185,GODSUSDT,QUICKUSDT,0.0,-4.16,-3.37,4.99,41
6967,GLMRUSDT,THEUSDT,0.02,-3.73,-3.37,0.25,41
10939,PEAQUSDT,OMGUSDT,0.04,-3.44,-3.37,1.14,41
